AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
CHAK;8623;Cyclotella håkanssoniae Wendker                                                                                                           ;0,02123;0,05964;0,31733;0,34851;0,24862;0,00467;0;0,881718028;T-Cor
CHAL;7245;Craticula halophila (Grunow ex Van Heurck) Mann                                                                                           ;0,50486;0,23022;0,18774;0,05357;0,02007;0,00353;0;0,982831129;L-P
CHBR;11851;Chamaepinnularia bremensis (Hustedt) Lange-Bertalot                                                                                       ;0;0;0;0,85705;0,13339;0,00956;0;1,457502451;T-Cor
CHCO;7305;Cymbella helvetica var, compacta (Østrup) Hustedt                                                                                         ;0;0;0,00538;0;0,04946;0,2413;0,70387;1,258909784;T-Cor
CHEL;7304;Cymbella helvetica Kützing var, helvetica                                                                                                 ;0,00008;0,00014;0,00187;0,03435;0,18965;0,43156;0,34235;0,973473366;L-P
CHEV;11863;Chamaepinnularia evanida (Hustedt) Lange-Bertalot                                                                                         ;0;0;0;0,02049;0,3308;0,58458;0,06413;1,138586076;L-P
CHGB;30030;Cymbella heterogibbosa H, Kobayasi et Mayama                                                                                              ;0;0;0,02035;0,03601;0,05533;0,70926;0,17904;1,240523956;T-Cor
CHHA;28256;Chamaepinnularia hassiaca (Krasske) Cantonati et Lange-Bertalot                                                                           ;0;0;0;0,02434;0,24034;0,38422;0,3511;0,95482498;T-Cor
CHIB;7202;Campylodiscus hibernicus Ehrenberg                                                                                                        ;0;0;0;0,00481;0,37069;0,6245;0;1,226191739;L-P
CHMC;28243;Chamaepinnularia muscicola (Petersen) Kulikovskiy, Lange-Bertalot et Witkowski                                                            ;0;0;0,49919;0,27575;0,14896;0,04476;0,03135;0,989160655;T-Cor
CHME;7213;Chamaepinnularia mediocris (Krasske) Lange-Bertalot in Lange-Bertalot et Metzeltin var, mediocris                                         ;0;0;0,02023;0;0,00047;0,01179;0,96751;1,61621846;L-P
CHMJ;20689;Cymbella helvetica var, major Meister                                                                                                     ;0,00008;0,00014;0,00187;0,03435;0,18965;0,43156;0,34235;0,973473366;T-Cor
CHMU;8585;Chaetoceros muelleri Lemmermann                                                                                                           ;0,00725;0,49284;0,4945;0,00541;0;0;0;1,178553668;L-P
CHSH;11890;Chamaepinnularia soehrensis var, hassiaca (Krasske) Lange-Bertalot                                                                        ;0;0;0;0,02434;0,24034;0,38422;0,3511;0,95482498;L-P
CHSM;11892;Chamaepinnularia soehrensis var, muscicola (Petersen) Lange-Bertalot et Krammer                                                           ;0;0;0,49919;0,27575;0,14896;0,04476;0,03135;0,989160655;L-P
CHSO;11894;Chamaepinnularia soehrensis (Krasske)Lange-Bertalot et Krammer in Lange-Bertalot et Metzeltin var, soehrensis                             ;0;0;0;0,0844;0,45193;0,32998;0,13369;0,969450585;L-P
CHST;7313;Cymbella hustedtii f, stigmata Compère                                                                                                    ;0;0;0;0,00921;0,43882;0,55196;0;1,190500121;T-Cor
CHUS;11954;Cymbella hustedtii Krasske var, hustedtii                                                                                                 ;0,00183;0,00084;0,00324;0,1311;0,5373;0,3005;0,02519;1,058842687;L-P
CHVN;34776;Chamaepinnularia ventosa (Hustedt) C,E, Wetzel et Ector                                                                                   ;0;0;0;0,02049;0,3308;0,58458;0,06413;1,138586076;T-Cor
CINQ;20696;Cymbella inaequalis (Ehrenberg) Rabenhorst                                                                                                ;0;0,00547;0,01261;0,4405;0,49434;0,04407;0,00302;1,11884476;T-Cor
CINV;8600;Cyclostephanos invisitatus Hohn et Hellerman)Theriot Stoermer et Håkansson                                                                ;0,03257;0,1469;0,49238;0,29742;0,01917;0,01135;0,00021;0,994878365;L-P
CIQL;7383;Cymbopleura inaequalis (Ehrenberg) Krammer                                                                                                ;0;0,00547;0,01261;0,4405;0,49434;0,04407;0,00302;1,11884476;T-Cor
CJVK;32635;Cymbella javorkae Krenner                                                                                                                 ;0;0;0,00538;0;0,04946;0,2413;0,70387;1,258909784;T-Cor
CKOL;11932;Cymbella kolbei Hustedt var, kolbei                                                                                                       ;0;0;0;0,00921;0,43882;0,55196;0;1,190500121;L-P
CKRA;8629;Cyclotella kuetzingiana var, radiosa Fricke in Schmidt et al,                                                                             ;0;0;0;0,03684;0,26299;0,70017;0;1,264092038;L-P
CKRM;11934;Cyclotella krammeri Håkansson                                                                                                             ;0;0;0,03375;0,53176;0,43449;0;0;1,160179763;T-Cor
CKSH;41511;Cyclotella kuetzingiana var, schumannii Grunow in Van Heurck                                                                              ;0;0;0,03375;0,53176;0,43449;0;0;1,160179763;T-Cor
CKST;7323;Cymbella kolbei f, stigmata Compère                                                                                                       ;0;0;0;0,00921;0,43882;0,55196;0;1,190500121;T-Cor
CKTN;27634;Cyclotella katiana Sala et Ramirez                                                                                                        ;0,00069;0,04155;0,48362;0,38826;0,08323;0,00263;0,00001;1,053787163;T-Cor
CKUT;8627;Cyclotella kuetzingiana Thwaites var, kuetzingiana                                                                                        ;0;0;0,03375;0,53176;0,43449;0;0;1,160179763;T-Cor
CLAN;11964;Cymbella lanceolata (Agardh ?)Agardh var, lanceolata                                                                                      ;0;0,00014;0,00468;0,13273;0,61858;0,22032;0,02356;1,130412677;L-P
CLCT;11981;Caloneis lancettula (Schulz) Lange-Bertalot et Witkowski                                                                                  ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CLCX;30034;Cymbella lacroixii Lauby                                                                                                                  ;0,00008;0,00014;0,00187;0,03435;0,18965;0,43156;0,34235;0,973473366;T-Cor
CLDS;7180;Caloneis ladogensis var, densestriata Hustedt                                                                                             ;0;0;0;0;0,00317;0,00502;0,99181;1,653730178;T-Cor
CLEP;7330;Cymbella leptoceros (Ehrenberg) Kützing var, leptoceros                                                                                   ;0;0,00103;0,00163;0,13865;0,52078;0,33428;0,00363;1,066479507;L-P
CLEV;8583;Cerataulus laevis (Ehrenberg) Ralfs in Pritchard var, laevis                                                                              ;0;0,70034;0,16627;0,13255;0,00084;0;0;1,23572604;T-Cor
CLGT;28221;Caloneis lagerstedtii (Lagerstedt) Cholnoky                                                                                               ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CLIB;7252;Cymatopleura librile (Ehr,)Pantocsek var, librile                                                                                         ;0,00414;0,01638;0,08471;0,31965;0,51993;0,05466;0,00053;1,038737699;T-Cor
CLIM;7182;Caloneis limosa (Kütz,) Patrick var, limosa                                                                                               ;0;0;0,00283;0,02375;0,70173;0,2717;0;1,2708066;T-Cor
CLLT;29486;Caloneis limosa var, lancettula (Schulz) Patrick                                                                                          ;0;0;0,00283;0,02375;0,70173;0,2717;0;1,2708066;T-Cor
CLNT;30021;Cocconeis lineata Ehrenberg                                                                                                               ;0,00009;0,00207;0,02067;0,12459;0,34293;0,44843;0,06123;0,969887256;T-Cor
CMCL;30031;Cymbella maculata Kützing                                                                                                                 ;0;0;0,02035;0,03601;0,05533;0,70926;0,17904;1,240523956;T-Cor
CMDS;43186;Cymbella mendosa VanLandingham                                                                                                            ;0;0;0,12807;0,25836;0,54284;0,07074;0;1,038551681;T-Cor
